#Position	Gene	Swift amplicon name
chr3:41266022-41266155	CTNNB1	CTNNB1_cDNA_34-137_codon_12-45
chr3:138665135-138665262	FOXL2	FOXL2_cDNA_318-415_codon_107-138
chr3:178916791-178916913	PIK3CA	PIK3CA_cDNA_193-285_codon_65-95
chr3:178916858-178916978	PIK3CA	PIK3CA_cDNA_260-350_codon_88-116
chr3:178921447-178921578	PIK3CA	PIK3CA_cDNA_944-1045_codon_316-348
chr3:178927384-178927486	PIK3CA	PIK3CA_cDNA_1162-1234_codon_388-411
chr3:178927903-178928020	PIK3CA	PIK3CA_cDNA_1252-1283_codon_418-427
chr3:178928055-178928176	PIK3CA	PIK3CA_cDNA_1348-1404_codon_450-468
chr3:178936007-178936123	PIK3CA	PIK3CA_cDNA_1564-1650_codon_522-550
chr3:178938791-178938891	PIK3CA	PIK3CA_cDNA_2048-2118_codon_684-706
chr3:178947796-178947902	PIK3CA	PIK3CA_cDNA_2686-2762_codon_896-920
chr3:178951985-178952122	PIK3CA	PIK3CA_cDNA_3055-3162_codon_1019-1054
chr3:178952127-178952257	PIK3CA	PIK3CA_cDNA_3197-3207_codon_1067-1069
chr4:1803548-1803661	FGFR3	FGFR3_cDNA_741-824_codon_248-274
chr4:1803631-1803762	FGFR3	FGFR3_cDNA_824-925_codon_276-308
chr4:1806049-1806171	FGFR3	FGFR3_cDNA_1083-1175_codon_362-391
chr4:1807830-1807946	FGFR3	FGFR3_cDNA_1904-1959_codon_636-653
chr4:1808259-1808410	FGFR3	FGFR3_cDNA_2032-2153_codon_678-717
chr4:1808912-1809019	FGFR3	FGFR3_cDNA_2359-2421_codon_787-807
chr4:55140978-55141103	PDGFRA	PDGFRA_cDNA_1654-1734_codon_552-578
chr4:55144109-55144227	PDGFRA	PDGFRA_cDNA_1953-2002_codon_652-667
chr4:55144459-55144574	PDGFRA	PDGFRA_cDNA_2003-2033_codon_669-677
chr4:55152010-55152150	PDGFRA	PDGFRA_cDNA_2457-2562_codon_820-854
chr4:55561680-55561798	KIT	KIT_cDNA_85-173_codon_29-57
chr4:55561768-55561876	KIT	KIT_cDNA_173-251_codon_59-83
chr4:55592028-55592178	KIT	KIT_cDNA_1367-1487_codon_457-495
chr4:55592137-55592259	KIT	KIT_cDNA_1476-1540_codon_493-513
chr4:55593406-55593528	KIT	KIT_cDNA_1578-1647_codon_527-549
chr4:55593500-55593628	KIT	KIT_cDNA_1648-1679_codon_550-559
chr4:55593584-55593703	KIT	KIT_cDNA_1665-1754_codon_556-584
chr4:55594129-55594276	KIT	KIT_cDNA_1880-1964_codon_628-654
chr4:55595478-55595583	KIT	KIT_cDNA_1991-2058_codon_665-686
chr4:55595547-55595680	KIT	KIT_cDNA_2052-2141_codon_685-713
chr4:55597441-55597546	KIT	KIT_cDNA_2142-2179_codon_715-726
chr4:55597515-55597632	KIT	KIT_cDNA_2178-2233_codon_727-744
chr4:55599244-55599373	KIT	KIT_cDNA_2385-2484_codon_796-828
chr4:55602649-55602781	KIT	KIT_cDNA_2485-2587_codon_829-862
chr4:55946064-55946153	KDR	KDR_cDNA_4041-4071_codon_1348-1357
chr4:55946210-55946285	KDR	KDR_cDNA_3909-3954_codon_1304-1318
chr4:55953723-55953858	KDR	KDR_cDNA_3593-3662_codon_1199-1220
chr4:55955069-55955187	KDR	KDR_cDNA_3405-3461_codon_1136-1153
chr4:55960929-55961048	KDR	KDR_cDNA_2907-2971_codon_970-990
chr4:55962463-55962595	KDR	KDR_cDNA_2615-2646_codon_873-882
chr4:55972930-55973043	KDR	KDR_cDNA_1413-1445_codon_472-481
chr4:55979535-55979651	KDR	KDR_cDNA_811-897_codon_271-299
chr4:55980307-55980408	KDR	KDR_cDNA_698-769_codon_234-256
chr4:153245362-153245485	FBXW7	FBXW7_cDNA_1481-1574_codon_495-524
chr4:153247254-153247389	FBXW7	FBXW7_cDNA_1188-1293_codon_397-431
chr4:153249359-153249493	FBXW7	FBXW7_cDNA_1060-1164_codon_354-388
chr4:153250827-153250933	FBXW7	FBXW7_cDNA_902-978_codon_302-326
chr4:153258952-153259044	FBXW7	FBXW7_cDNA_546-608_codon_183-202
chr4:153259001-153259137	FBXW7	FBXW7_cDNA_487-559_codon_163-186
chr5:112173858-112173985	APC	APC_cDNA_2582-2679_codon_862-893
chr5:112174557-112174692	APC	APC_cDNA_3281-3386_codon_1095-1128
chr5:112175140-112175276	APC	APC_cDNA_3864-3970_codon_1289-1323
chr5:112175307-112175447	APC	APC_cDNA_4031-4141_codon_1345-1380
chr5:112175554-112175641	APC	APC_cDNA_4278-4335_codon_1427-1445
chr5:112175673-112175726	APC	APC_cDNA_4397-4420_codon_1467-1473
chr5:112175730-112175854	APC	APC_cDNA_4454-4548_codon_1486-1516
chr5:112175882-112175987	APC	APC_cDNA_4606-4681_codon_1536-1560
chr5:112175962-112176091	APC	APC_cDNA_4686-4785_codon_1563-1595
chr5:149433580-149433707	CSF1R	CSF1R_cDNA_2859-2919_codon_954-973
chr5:149452976-149453098	CSF1R	CSF1R_cDNA_890-955_codon_298-318
chr5:170837490-170837633	NPM1	NPM1_cDNA_847-885_codon_283-295
chr7:55211028-55211128	EGFR	EGFR_cDNA_286-356_codon_96-118
chr7:55221781-55221881	EGFR	EGFR_cDNA_840-889_codon_281-296
chr7:55232996-55233136	EGFR	EGFR_cDNA_1761-1871_codon_588-623
chr7:55241616-55241739	EGFR	EGFR_cDNA_2079-2172_codon_694-724
chr7:55242371-55242487	EGFR	EGFR_cDNA_2185-2242_codon_729-747
chr7:55242429-55242555	EGFR	EGFR_cDNA_2214-2283_codon_739-761
chr7:55248983-55249105	EGFR	EGFR_cDNA_2296-2388_codon_766-796
chr7:55249107-55249228	EGFR	EGFR_cDNA_2420-2469_codon_808-823
chr7:55259365-55259506	EGFR	EGFR_new4
chr7:55259464-55259597	EGFR	EGFR_cDNA_2559-2625_codon_854-875
chr7:116339587-116339709	MET	MET_cDNA_464-556_codon_156-185
chr7:116340206-116340352	MET	MET_cDNA_1083-1199_codon_362-399
chr7:116403135-116403261	MET	MET_cDNA_2465-2561_codon_823-853
chr7:116411881-116412012	MET	MET_cDNA_2942-3036_codon_982-1012
chr7:116417411-116417535	MET	MET_cDNA_3314-3391_codon_1106-1130
chr7:116423392-116423500	MET	MET_cDNA_3736-3814_codon_1246-1271
chr7:128845063-128845161	SMO	SMO_cDNA_572-640_codon_192-213
chr7:128845996-128846097	SMO	SMO_cDNA_941-1012_codon_315-337
chr7:128846347-128846436	SMO	SMO_cDNA_1198-1257_codon_400-419
chr7:128850257-128850375	SMO	SMO_cDNA_1535-1623_codon_513-541
chr7:128851507-128851616	SMO	SMO_cDNA_1847-1926_codon_617-642
chr7:140453095-140453209	BRAF	BRAF_cDNA_1742-1825_codon_582-608
chr7:140481369-140481496	BRAF	BRAF_cDNA_1327-1424_codon_443-474
chr7:148508678-148508805	EZH2	EZH2_cDNA_1874-1947_codon_626-649
chr8:38282124-38282235	FGFR1	FGFR1_cDNA_746-824_codon_250-274
chr8:38285847-38285988	FGFR1	FGFR1_cDNA_359-448_codon_121-149
chr9:5073702-5073796	JAK2	JAK2_cDNA_1796-1860_codon_600-620
chr9:5078328-5078415	JAK2	JAK2_cDNA_2030-2087_codon_678-695
chr9:21970926-21971078	CDKN2A	CDKN2A_cDNA_295-417_codon_99-139
chr9:21971076-21971225	CDKN2A	CDKN2A_cDNA_151-267_codon_51-89
chr9:80409401-80409513	GNAQ	GNAQ_cDNA_616-698_codon_206-232
chr9:80412471-80412588	GNAQ	GNAQ_cDNA_477-555_codon_160-185
chr9:133738289-133738400	ABL1	ABL1_cDNA_761-842_codon_255-280
chr9:133747466-133747594	ABL1	ABL1_cDNA_880-943_codon_294-314
chr9:133748222-133748369	ABL1	ABL1_cDNA_965-1072_codon_323-357
chr9:133748371-133748518	ABL1	ABL1_cDNA_1104-1142_codon_369-380
chr9:133750292-133750418	ABL1	ABL1_cDNA_1195-1291_codon_399-430
chr9:135781013-135781098	TSC1	TSC1_cDNA_1882-1937_codon_628-645
chr9:135797210-135797379	TSC1	TSC1_new5
chr9:135798701-135798838	TSC1	TSC1_new6
chr9:135798798-135798929	TSC1	TSC1_new7
chr9:139390770-139390893	NOTCH1	NOTCH1_cDNA_7313-7406_codon_2439-2468
chr9:139397749-139397894	NOTCH1	NOTCH1_cDNA_5019-5037_codon_1674-1679
chr9:139399326-139399460	NOTCH1	NOTCH1_cDNA_4698-4802_codon_1567-1600
chr10:43609014-43609125	RET	RET_cDNA_1785-1866_codon_596-622
chr10:43609858-43609984	RET	RET_cDNA_1880-1921_codon_628-640
chr10:43610013-43610116	RET	RET_cDNA_1980-2053_codon_661-684
chr10:43613786-43613909	RET	RET_cDNA_2285-2358_codon_763-786
chr10:43615548-43615652	RET	RET_cDNA_2642-2716_codon_882-905
chr10:43617369-43617467	RET	RET_cDNA_2731-2789_codon_911-929
chr10:89624174-89624329	PTEN	PTEN_cDNA_1-79_codon_1-26
chr10:89653766-89653884	PTEN	PTEN_cDNA_80-164_codon_28-54
chr10:89685229-89685349	PTEN	PTEN_cDNA_165-209_codon_56-69
chr10:89690748-89690863	PTEN	PTEN_cDNA_210-253_codon_71-84
chr10:89692754-89692888	PTEN	PTEN_cDNA_254-357_codon_86-119
chr10:89692853-89692937	PTEN	PTEN_cDNA_352-406_codon_118-135
chr10:89692886-89693023	PTEN	PTEN_cDNA_385-492_codon_129-164
chr10:89711840-89711970	PTEN	PTEN_cDNA_493-573_codon_165-191
chr10:89711936-89712038	PTEN	PTEN_cDNA_569-634_codon_191-211
chr10:89717575-89717690	PTEN	PTEN_cDNA_635-700_codon_213-233
chr10:89717654-89717791	PTEN	PTEN_cDNA_694-801_codon_232-267
chr10:89720554-89720715	PTEN	PTEN_cDNA_802-851_codon_268-283
chr10:89720759-89720894	PTEN	PTEN_cDNA_925-1026_codon_309-342
chr10:89725025-89725157	PTEN	PTEN_cDNA_1027-1125_codon_343-375
chr10:123257957-123258075	FGFR2	FGFR2_cDNA_1621-1672_codon_541-557
chr10:123274750-123274861	FGFR2	FGFR2_cDNA_1085-1153_codon_363-384
chr10:123279466-123279579	FGFR2	FGFR2_cDNA_868-939_codon_290-313
chr10:123279588-123279702	FGFR2	FGFR2_cDNA_749-829_codon_251-276
chr11:533777-533918	HRAS	HRAS_cDNA_153-264_codon_52-88
chr11:534222-534363	HRAS	HRAS_cDNA_1-86_codon_1-28
chr11:108117748-108117868	ATM	ATM_cDNA_974-1064_codon_326-354
chr11:108119792-108119911	ATM	ATM_cDNA_1213-1235_codon_405-411
chr11:108123489-108123588	ATM	ATM_cDNA_1803-1832_codon_602-610
chr11:108137938-108138060	ATM	ATM_cDNA_2522-2614_codon_842-871
chr11:108155066-108155192	ATM	ATM_cDNA_3874-3970_codon_1292-1323
chr11:108170449-108170571	ATM	ATM_cDNA_5029-5121_codon_1677-1707
chr11:108170534-108170644	ATM	ATM_cDNA_5114-5177_codon_1706-1725
chr11:108172326-108172457	ATM	ATM_cDNA_5178-5245_codon_1727-1748
chr11:108173616-108173719	ATM	ATM_cDNA_5371-5444_codon_1791-1814
chr11:108173681-108173810	ATM	ATM_cDNA_5436-5496_codon_1813-1832
chr11:108180886-108180984	ATM	ATM_cDNA_5777-5845_codon_1927-1948
chr11:108200891-108201005	ATM	ATM_cDNA_7308-7357_codon_2437-2452
chr11:108204617-108204708	ATM	ATM_cDNA_7947-8008_codon_2650-2669
chr11:108205696-108205836	ATM	ATM_cDNA_8026-8136_codon_2676-2712
chr11:108206503-108206635	ATM	ATM_cDNA_8152-8200_codon_2718-2733
chr11:108218024-108218157	ATM	ATM_cDNA_8618-8671_codon_2874-2890
chr11:108225528-108225650	ATM	ATM_cDNA_8792-8850_codon_2932-2950
chr11:108236023-108236165	ATM	ATM_cDNA_8988-9086_codon_2997-3028
chr11:108236124-108236246	ATM	ATM_cDNA_9075-9167_codon_3026-3055
chr12:25362760-25362912	ATM	ATM_new8
chr12:25368333-25368464	ATM	ATM_new9
chr12:25368416-25368542	ATM	ATM_new10
chr12:25378501-25378606	KRAS	KRAS_cDNA_337-441_codon_113-147
chr12:25378546-25378671	KRAS	KRAS_cDNA_112-196_codon_38-65
chr12:25380259-25380410	KRAS	KRAS_cDNA_8-104_codon_4-34
chr12:25398134-25398265	KRAS	KRAS_new11
chr12:25398218-25398324	KRAS	KRAS_new12
chr12:112888098-112888244	PTPN11	PTPN11_cDNA_138-245_codon_47-81
chr12:112926818-112926952	PTPN11	PTPN11_cDNA_1453-1557_codon_485-519
chr12:121431366-121431504	HNF1A	HNF1A_cDNA_585-693_codon_196-231
chr12:121431459-121431586	HNF1A	HNF1A_cDNA_678-713_codon_227-237
chr12:121431971-121432104	HNF1A	HNF1A_cDNA_733-836_codon_245-278
chr12:121432044-121432169	HNF1A	HNF1A_cDNA_806-901_codon_270-300
chr13:28592590-28592723	FLT3	FLT3_cDNA_2437-2540_codon_813-846
chr13:28602265-28602398	FLT3	FLT3_cDNA_1985-2053_codon_663-684
chr13:28608210-28608336	FLT3	FLT3_cDNA_1735-1831_codon_579-610
chr13:28610089-28610221	FLT3	FLT3_cDNA_1310-1386_codon_438-462
chr13:48919206-48919314	RB1	RB1_cDNA_386-464_codon_130-154
chr13:48923107-48923228	RB1	RB1_cDNA_570-607_codon_191-202
chr13:48936943-48937028	RB1	RB1_cDNA_726-781_codon_243-260
chr13:48941576-48941691	RB1	RB1_cDNA_940-986_codon_314-328
chr13:48942633-48942737	RB1	RB1_cDNA_1050-1109_codon_351-369
chr13:48953685-48953782	RB1	RB1_cDNA_1333-1370_codon_445-456
chr13:48955467-48955583	RB1	RB1_cDNA_1598-1684_codon_534-561
chr13:49027087-49027197	RB1	RB1_cDNA_1696-1749_codon_566-583
chr13:49033811-49033950	RB1	RB1_cDNA_1963-2072_codon_655-690
chr13:49037810-49037943	RB1	RB1_cDNA_2107-2168_codon_703-722
chr13:49039131-49039261	RB1	RB1_cDNA_2224-2324_codon_742-774
chr13:49039349-49039434	RB1	RB1_cDNA_2349-2404_codon_784-801
chr14:105241423-105241538	AKT1	AKT1_cDNA_457-542_codon_153-180
chr14:105246431-105246568	AKT1	AKT1_cDNA_47-154_codon_17-51
chr15:66727407-66727537	MAP2K1	MAP2K1_cDNA_138-238_codon_47-79
chr15:66729069-66729204	MAP2K1	MAP2K1_cDNA_292-397_codon_98-132
chr15:66774103-66774213	MAP2K1	MAP2K1_cDNA_594-674_codon_199-224
chr15:66777324-66777462	MAP2K1	MAP2K1_cDNA_705-813_codon_236-271
chr15:66782806-66782950	MAP2K1	MAP2K1_cDNA_1069-1164_codon_357-388
chr15:90631726-90631861	IDH2	IDH2_cDNA_507-534_codon_170-178
chr15:90631891-90631985	IDH2	IDH2_cDNA_383-447_codon_129-149
chr16:2112538-2112682	IDH2	IDH2_new13
chr16:2122203-2122345	IDH2	IDH2_new14
chr16:2126118-2126253	IDH2	IDH2_new15
chr16:2136181-2136294	IDH2	IDH2_new16
chr16:68835588-68835696	CDH1	CDH1_cDNA_194-272_codon_66-90
chr16:68846016-68846162	CDH1	CDH1_cDNA_1009-1118_codon_337-372
chr16:68847197-68847334	CDH1	CDH1_cDNA_1138-1241_codon_380-413
chr17:7572902-7573029	TP53	TP53_cDNA_1101-1182_codon_368-394
chr17:7573876-7573993	TP53	TP53_cDNA_994-1054_codon_332-351
chr17:7573958-7574057	TP53	TP53_cDNA_1049-1100_codon_351-366
chr17:7576467-7576604	TP53	TP53_cDNA_994-993_codon_332-331
chr17:7576570-7576708	TP53	TP53_cDNA_994-993_codon_332-331
chr17:7576799-7576924	TP53	TP53_cDNA_920-983_codon_308-327
chr17:7576848-7576977	TP53	TP53_cDNA_937-993_codon_313-331
chr17:7576994-7577139	TP53	TP53_cDNA_783-855_codon_262-285
chr17:7577068-7577203	TP53	TP53_cDNA_814-919_codon_272-306
chr17:7577436-7577566	TP53	TP53_cDNA_673-754_codon_225-251
chr17:7577512-7577642	TP53	TP53_cDNA_730-782_codon_244-260
chr17:7578128-7578267	TP53	TP53_cDNA_560-602_codon_188-200
chr17:7578232-7578362	TP53	TP53_cDNA_597-672_codon_200-224
chr17:7578301-7578422	TP53	TP53_cDNA_523-559_codon_175-186
chr17:7578369-7578501	TP53	TP53_cDNA_444-546_codon_149-182
chr17:7578430-7578571	TP53	TP53_cDNA_186-298_codon_63-99
chr17:7579272-7579412	TP53	TP53_cDNA_290-375_codon_98-125
chr17:7579374-7579516	TP53	TP53_cDNA_97-192_codon_33-64
chr17:7579480-7579611	TP53	TP53_cDNA_75-96_codon_26-32
chr17:7579684-7579783	TP53	TP53_cDNA_1-74_codon_1-24
chr17:7579816-7579945	TP53	TP53_cDNA_376-485_codon_126-161
chr17:37866617-37866751	TP53	TP53_new17
chr17:37868170-37868282	ERBB2	ERBB2_cDNA_816-898_codon_273-299
chr17:37879505-37879624	ERBB2	ERBB2_new18
chr17:37879569-37879709	ERBB2	ERBB2_new19
chr17:37879674-37879808	ERBB2	ERBB2_new20
chr17:37880115-37880245	ERBB2	ERBB2_new21
chr17:37880198-37880339	ERBB2	ERBB2_cDNA_2167-2217_codon_723-739
chr17:37880951-37881045	ERBB2	ERBB2_cDNA_2218-2269_codon_740-756
chr17:37881016-37881136	ERBB2	ERBB2_cDNA_2404-2468_codon_802-822
chr17:37881268-37881381	ERBB2	ERBB2_new22
chr18:48575105-48575208	SMAD4	SMAD4_cDNA_314-387_codon_106-129
chr18:48575562-48575694	SMAD4	SMAD4_cDNA_425-439_codon_143-146
chr18:48581172-48581297	SMAD4	SMAD4_cDNA_491-586_codon_165-195
chr18:48584484-48584610	SMAD4	SMAD4_cDNA_672-768_codon_225-256
chr18:48586242-48586359	SMAD4	SMAD4_cDNA_926-955_codon_310-318
chr18:48591802-48591944	SMAD4	SMAD4_cDNA_980-1092_codon_328-364
chr18:48593386-48593522	SMAD4	SMAD4_cDNA_1152-1258_codon_385-419
chr18:48603012-48603135	SMAD4	SMAD4_cDNA_1328-1421_codon_444-473
chr18:48604647-48604743	SMAD4	SMAD4_cDNA_1484-1550_codon_496-516
chr18:48604711-48604812	SMAD4	SMAD4_cDNA_1548-1619_codon_517-539
chr19:1206988-1207119	STK11	STK11_cDNA_91-192_codon_31-64
chr19:1220297-1220438	STK11	STK11_cDNA_465-516_codon_156-172
chr19:1220449-1220589	STK11	STK11_cDNA_557-597_codon_187-199
chr19:1221212-1221347	STK11	STK11_cDNA_750-855_codon_251-285
chr19:1223037-1223159	STK11	STK11_cDNA_989-1081_codon_331-360
chr19:3114934-3115062	GNA11	GNA11_cDNA_484-582_codon_162-194
chr19:3118919-3119039	GNA11	GNA11_cDNA_618-708_codon_207-236
chr19:17945609-17945748	JAK3	JAK3_cDNA_2127-2199_codon_710-733
chr19:17947956-17948093	JAK3	JAK3_cDNA_1702-1753_codon_568-584
chr19:17954114-17954244	JAK3	JAK3_cDNA_380-420_codon_128-140
chr20:36031650-36031784	SRC	SRC_cDNA_1494-1598_codon_499-532
chr20:57484392-57484498	GNAS	GNAS_cDNA_588-659_codon_197-219
chr20:57484538-57484650	GNAS	GNAS_cDNA_660-718_codon_221-239
chr22:24133923-24134052	SMARCB1	SMARCB1_cDNA_94-188_codon_32-62
chr22:24143206-24143325	SMARCB1	SMARCB1_cDNA_453-500_codon_152-166
chr22:24145503-24145613	SMARCB1	SMARCB1_cDNA_537-617_codon_180-205
chr22:24176244-24176388	SMARCB1	SMARCB1_cDNA_1119-1158_codon_374-386
