#Position	Gene	Swift amplicon name
chr1:43814951-43815064	MPL	MPL_S505N-A519T_F/2
chr13:49033826-49033935	RB1	RB1_L660*fs2_R661_L676fs*16_F/2
chr13:49037825-49037928	RB1	RB1_C706F_K715*_F/2
chr13:49039146-49039246	RB1	RB1_E748*_V754G_F/2
chr13:49039364-49039419	RB1	RB1_R787_F/2
chr14:105241438-105241523	AKT1	AKT1_G173R_K179M_R/1
chr14:105246446-105246553	AKT1	AKT1_E17-E49_new/1
chr15:66727422-66727522	MAP2K1	MAP2K1.Q47-D67.F/2
chr15:66729084-66729189	MAP2K1	MAP2K1.I99-G128F/2
chr15:66774118-66774198	MAP2K1	MAPK2K1.E203.F/2
chr15:66777339-66777447	MAP2K1	MAP2k1.P264.F/2
chr15:66782821-66782935	MAP2K1	MAP2K1.N382.F/2
chr15:90631741-90631846	IDH2	IDH2_B_(R140-R172)_R/1
chr15:90631906-90631970	IDH2	IDH2_A_(R140-R172)_R/1
chr16:2112553-2112667	TSC2	TSC2_2112581-2112585_s200_1
chr16:2122218-2122330	TSC2	TSC2_2122256-2122260_s200_1
chr16:2126133-2126238	TSC2	TSC2_2126141-2126145_s200_1
chr16:2136196-2136279	TSC2	TSC2_2136230-2136234_s200_1
chr16:68835603-68835681	CDH1	CDH1_V82_F/2
chr16:68846031-68846147	CDH1	CDH1_SL343-D370_F/2
chr16:68847212-68847319	CDH1	CDH1_T399_D402_F/2
chr17:7572917-7573014	TP53	_TP53_Exon11
chr17:7573891-7573978	TP53	_TP53_Exon10B
chr17:7573973-7574042	TP53	_TP53_Exon10A
chr17:7576482-7576589	TP53	_TP53_Exon9g
chr17:7576585-7576693	TP53	_TP53_Exon9b
chr17:7576814-7576909	TP53	_TP53_Exon_9a_B
chr17:7576863-7576962	TP53	_TP53_Exon_9a_A
chr17:7577009-7577124	TP53	_TP53_Exon_8_B
chr17:7577083-7577188	TP53	_TP53_Exon_8_A
chr17:7577451-7577551	TP53	_TP53_Exon7B
chr17:7577527-7577627	TP53	_TP53_Exon7A
chr17:7578143-7578252	TP53	_TP53_Exon6B
chr17:7578247-7578347	TP53	_TP53_Exon6A
chr17:7578316-7578407	TP53	_TP53_Exon5C
chr17:7578384-7578486	TP53	_TP53_Exon5B
chr17:7578445-7578556	TP53	TP53_Exon_5A
chr17:7579287-7579397	TP53	_TP53_Exon4C
chr17:7579389-7579501	TP53	_TP53_Exon4B
chr17:7579495-7579596	TP53	_TP53_Exon4A
chr17:7579699-7579768	TP53	_TP53_Exon3_R
chr17:7579831-7579930	TP53	_TP53_Exon2_R
chr17:37866632-37866736	ERBB2	ERBB2_37866338-37866734_s625_D_2
chr17:37868185-37868267	ERBB2	ERBB2_(G309A)_F/2
chr17:37879520-37879609	ERBB2	ERBB2_37879571-37879913_s175_1
chr17:37879584-37879694	ERBB2	ERBB2_37879571-37879913_s175_U_2
chr17:37879689-37879793	ERBB2	ERBB2_37879571-37879913_s175_U_3
chr17:37880130-37880230	ERBB2	ERBB2_37880164-37880263_s175_1
chr17:37880213-37880324	ERBB2	ERBB2_(L755_755-759del_D769)_F/2
chr17:37880966-37881030	ERBB2	ERBB2_A_(V777L)_F/2
chr17:37881031-37881121	ERBB2	ERBB2_37880978-37881655_s175_U_2
chr17:37881283-37881366	ERBB2	ERBB2_B_(V842I)_F/2
chr18:48575120-48575193	SMAD4	SMAD4.A118-C123.F/2
chr18:48575577-48575679	SMAD4	SMAD4.S144.F/2
chr18:48581187-48581282	SMAD4	SMAD4.G168.F/2
chr18:48584499-48584595	SMAD4	SMAD4.Q245-T259.F/2
chr18:48586257-48586344	SMAD4	SMAD4.Q311.F/2
chr18:48591817-48591929	SMAD4	SMAD4.E330-R361.F/2
chr18:48593401-48593507	SMAD4	SMAD4.G386-Y412.F/2
chr18:48603027-48603120	SMAD4	SMAD4.R445-A466.F/2
chr18:48604662-48604728	SMAD4	SMAD4.R497.F/2
chr18:48604726-48604797	SMAD4	SMAD4.E526-D537.F/2
chr19:1207003-1207104	STK11	STK11.T32-Y60.F/2
chr19:1220312-1220423	STK11	STK11.Q159-G171.F/2
chr19:1220464-1220574	STK11	STK11.D194-E199.F/2
chr19:1221227-1221332	STK11	STK11.F264-282.F/2
chr19:1223052-1223144	STK11	STK11.W332-F354.F/2
chr19:3114949-3115047	GNA11	GNA11_R183_F/2
chr19:3118934-3119024	GNA11	GNA11_Q209.R/2
chr19:17945624-17945733	JAK3	Jak3_3_R_/1
chr19:17947971-17948078	JAK3	Jak3_2_R_/1
chr19:17954129-17954229	JAK3	Jak3_1_R_/1
chr20:36031665-36031769	SRC	SRC_Q531*_F/2
chr20:57484407-57484483	GNAS	GNAS_R201_F/2
chr20:57484553-57484635	GNAS	GNAS_Q227_F/2
chr22:24133938-24134037	SMARCB1	SMARCB1_R40*-R53*_F/2
chr22:24143221-24143310	SMARCB1	SMARCB1_R158*_F/2
chr22:24145518-24145598	SMARCB1	SMARCB1_R201*_F/2
chr22:24176259-24176373	SMARCB1	SMARCB1_R377H-P383_F/1__NEW
