#Swift_Amplicon_Name	Chr	Start	End	Gene	Transcript	Orientation	cDNA_start	upstream_bases	cDNA_end	downstream_bases	starts_in_codon	first_full_codon	ends_in_codon	last_full_codon
016_ERBB4_S341_V348_R1	chr2	212576794	212576892	ERBB4	NM_005235	-	1007	0	1105	0	336	337	369	368
017_ERBB4_S303_R306_R1	chr2	212578279	212578353	ERBB4	NM_005235	-	904	0	978	0	302	302	326	326
018_ERBB4_Y285C_R1	chr2	212587142	212587213	ERBB4	NM_005235	-	788	0	859	0	263	264	287	286
019_ERBB4_T244R_R1	chr2	212589771	212589838	ERBB4	NM_005235	-	704	0	741	30	235	236	247	247
020_ERBB4_N181S_R1	chr2	212652715	212652812	ERBB4	NM_005235	-	494	0	556	35	165	166	186	185
021_ERBB4_T140I_R1	chr2	212812073	212812171	ERBB4	NM_005235	-	405	0	421	82	135	136	141	140
022_vhl1_F2	chr3	10183765	10183854	VHL	NM_000551	+	234	0	323	0	78	79	108	107
023_vhl2_F2	chr3	10188185	10188302	VHL	NM_000551	+	341	13	445	0	114	115	149	148
024_vhl3_F2	chr3	10191420	10191521	VHL	NM_000551	+	464	51	514	0	155	156	172	171
025_MLH1_V384D_F2	chr3	37067191	37067256	MLH1	NM_000249	+	1102	0	1167	0	368	368	389	389
026_CTNNB1_D32-S45_F2	chr3	41266037	41266140	CTNNB1	NM_001904	+	34	0	137	0	12	12	46	45
027_FOXL2_C134_R1	chr3	138665150	138665247	FOXL2	NM_023067	-	318	0	415	0	106	107	139	138
028_PIK3CA_Q75E-R88Q_F2	chr3	178916806	178916898	PIK3CA	NM_006218	+	193	0	285	0	65	65	95	95
029_PIK3CA_R108del-R115L_F2	chr3	178916873	178916963	PIK3CA	NM_006218	+	260	0	350	0	87	88	117	116
030_PIK3CA_T324I-N345K_F2	chr3	178921462	178921563	PIK3CA	NM_006218	+	944	0	1045	0	315	316	349	348
031_PIK3CA_S405F-C407W_F2	chr3	178927399	178927471	PIK3CA	NM_006218	+	1162	0	1234	0	388	388	412	411
032_PIK3CA_E418K-C420R_F2	chr3	178927918	178928005	PIK3CA	NM_006218	+	1252	56	1283	0	418	418	428	427
033_PIK3CA_G451-P466S_F2	chr3	178928070	178928161	PIK3CA	NM_006218	+	1348	0	1404	35	450	450	468	468
034_PIK3CA_P539-Q546_F2	chr3	178936022	178936108	PIK3CA	NM_006218	+	1564	0	1650	0	522	522	550	550
035_PIK3CA_H701P_F2	chr3	178938806	178938876	PIK3CA	NM_006218	+	2048	0	2118	0	683	684	706	706
036_PIK3CA_C901-F909_F2	chr3	178947811	178947887	PIK3CA	NM_006218	+	2686	0	2762	0	896	896	921	920
037_PIK3CA_H1047R_F_option2_F2	chr3	178952000	178952107	PIK3CA	NM_006218	+	3055	0	3162	0	1019	1019	1054	1054
038_PIK3CA_N1068-STOP1069_F2	chr3	178952142	178952242	PIK3CA	NM_006218	+	3197	0	3207	90	1066	1067	1069	1069
039_FGFR3_R248,_S249,_H251.F2	chr4	1803563	1803646	FGFR3	NM_000142	+	741	0	824	0	247	248	275	274
040_FGFR3_K276_V308_F2	chr4	1803646	1803747	FGFR3	NM_000142	+	824	0	925	0	275	276	309	308
041_FGFR3_A369-A391.F2	chr4	1806064	1806156	FGFR3	NM_000142	+	1083	0	1175	0	361	362	392	391
042_FGFR3_D641-K650.F2	chr4	1807845	1807931	FGFR3	NM_000142	+	1904	0	1959	31	635	636	653	653
043_FGFR3_G697.F2	chr4	1808274	1808395	FGFR3	NM_000142	+	2032	0	2153	0	678	678	718	717
044_FGFR3_L794fs*.F2	chr4	1808927	1809004	FGFR3	NM_000142	+	2359	0	2421	15	787	787	807	807
045_PDGFRA_R554-E571_F2	chr4	55140993	55141088	PDGFRA	NM_006206	+	1654	15	1734	0	552	552	578	578
046_PDGFRA_N659_F2	chr4	55144124	55144212	PDGFRA	NM_006206	+	1953	0	2002	39	651	652	668	667
047_PDGFRA_T674I_F2	chr4	55144474	55144559	PDGFRA	NM_006206	+	2003	55	2033	0	668	669	678	677
048_PDGFRA_V824-D846_F2	chr4	55152025	55152135	PDGFRA	NM_006206	+	2457	0	2562	5	819	820	854	854
049_KIT.G51-D52.F2	chr4	55561695	55561783	KIT	NM_000222	+	85	0	173	0	29	29	58	57
050_KIT_T59_W82_F2	chr4	55561783	55561861	KIT	NM_000222	+	173	0	251	0	58	59	84	83
051_KIT_V457_N495_F2	chr4	55592043	55592163	KIT	NM_000222	+	1367	0	1487	0	456	457	496	495
052_KIT.Y503-K505.F2	chr4	55592152	55592244	KIT	NM_000222	+	1476	0	1540	28	492	493	514	513
053_KIT.V530-K546.F2	chr4	55593421	55593513	KIT	NM_000222	+	1578	0	1647	23	526	527	549	549
054_KIT.K550-K558.F2	chr4	55593515	55593613	KIT	NM_000222	+	1648	67	1679	0	550	550	560	559
055_KIT_L576P-P577-D579del_2	chr4	55593599	55593688	KIT	NM_000222	+	1665	0	1754	0	555	556	585	584
056_KIT_K642_F_option22	chr4	55594144	55594261	KIT	NM_000222	+	1880	33	1964	0	627	628	655	654
057_KIT.T670.F1	chr4	55595493	55595568	KIT	NM_000222	+	1991	8	2058	0	664	665	686	686
058_KIT_K685_C714_F2	chr4	55595562	55595665	KIT	NM_000222	+	2052	0	2141	14	684	685	714	713
059_KIT.S715.F2	chr4	55597456	55597531	KIT	NM_000222	+	2142	38	2179	0	714	715	727	726
060_KIT_D737_F2	chr4	55597530	55597617	KIT	NM_000222	+	2178	0	2233	32	726	727	745	744
061_KIT.D816.F2	chr4	55599259	55599358	KIT	NM_000222	+	2385	0	2484	0	795	796	828	828
062_KIT.E839-W853.F2	chr4	55602664	55602766	KIT	NM_000222	+	2485	0	2587	0	829	829	863	862
063_KDR_P1355del_R1	chr4	55946079	55946138	KDR	NM_002253	-	4041	0	4071	29	1347	1348	1357	1357
064_KDR_G1308*_R1	chr4	55946225	55946270	KDR	NM_002253	-	3909	0	3954	0	1303	1304	1318	1318
065_KDR_P1210L_F1_NEW	chr4	55953738	55953843	KDR	NM_002253	-	3593	0	3662	36	1198	1199	1221	1220
066_KDR_L1140_G1145_R1	chr4	55955084	55955172	KDR	NM_002253	-	3405	32	3461	0	1135	1136	1154	1153
067_KDR_A973_S984_F1_NEW	chr4	55960944	55961033	KDR	NM_002253	-	2907	0	2971	25	969	970	991	990
068_KDR_G873R_R1	chr4	55962478	55962580	KDR	NM_002253	-	2615	71	2646	0	872	873	882	882
069_KDR_V476L_R1	chr4	55972945	55973028	KDR	NM_002253	-	1413	51	1445	0	471	472	482	481
070_KDR_R275L_R1	chr4	55979550	55979636	KDR	NM_002253	-	811	0	897	0	271	271	299	299
071_KDR_A248G_R1	chr4	55980322	55980393	KDR	NM_002253	-	698	0	769	0	233	234	257	256
072_FBXW7_S582.R1	chr4	153245377	153245470	FBXW7	NM_018315	-	1481	0	1574	0	494	495	525	524
073_FBXW7_R479-R505.R1	chr4	153247269	153247374	FBXW7	NM_018315	-	1188	0	1293	0	396	397	431	431
074_FBXW7_R465.R1	chr4	153249374	153249478	FBXW7	NM_018315	-	1060	0	1164	0	354	354	388	388
075_FBXW7_R393.R1	chr4	153250842	153250918	FBXW7	NM_018315	-	902	0	978	0	301	302	326	326
076_FBXW7_R278.R1	chr4	153258967	153259029	FBXW7	NM_018315	-	546	0	608	0	182	183	203	202
077_FBXW7_E248_R1	chr4	153259016	153259122	FBXW7	NM_018315	-	487	34	559	0	163	163	187	186
078_APC_N869fs*47,_R876*,_I880T,_Q886*_F2	chr5	112173873	112173970	APC	NM_000038	+	2582	0	2679	0	861	862	893	893
079_APC_Q1096*-G1120C_F2	chr5	112174572	112174677	APC	NM_000038	+	3281	0	3386	0	1094	1095	1129	1128
080_APC_Q1294fs*9-E1322*_F2	chr5	112175155	112175261	APC	NM_000038	+	3864	0	3970	0	1288	1289	1324	1323
081_APC_E1345*-E1379*_F2	chr5	112175322	112175432	APC	NM_000038	+	4031	0	4141	0	1344	1345	1381	1380
082_APC_Q1429_Q1469_F_12	chr5	112175569	112175626	APC	NM_000038	+	4278	0	4335	0	1426	1427	1445	1445
083_APC_Q1429_Q1469_R_11	chr5	112175688	112175711	APC	NM_000038	+	4397	0	4420	0	1466	1467	1474	1473
084_APC_L1488fs*19-E1513*_F2	chr5	112175745	112175839	APC	NM_000038	+	4454	0	4548	0	1485	1486	1516	1516
085_APC_E1537_S1595_F_12	chr5	112175897	112175972	APC	NM_000038	+	4606	0	4681	0	1536	1536	1561	1560
086_APC_L1537_A1595_F_22	chr5	112175977	112176076	APC	NM_000038	+	4686	0	4785	0	1562	1563	1595	1595
087_CSF1R_Y969_R1	chr5	149433595	149433692	CSF1R	NM_005211	-	2859	0	2919	37	953	954	973	973
088_CSF1R_L301_R1	chr5	149452991	149453083	CSF1R	NM_005211	-	890	27	955	0	297	298	319	318
089_NPM1_W288,_Q289,_W290,_and_fs_F1_NEW	chr5	170837505	170837618	NPM1	NM_002520	+	847	26	885	49	283	283	295	295
090_EGFR_R108_F2	chr7	55211043	55211113	EGFR	NM_005228	+	286	0	356	0	96	96	119	118
091_EGFR_A289_F2	chr7	55221796	55221866	EGFR	NM_005228	+	840	0	889	21	280	281	297	296
092_EGFR_P596_G598_F_option2coversC620Y2	chr7	55233011	55233121	EGFR	NM_005228	+	1761	0	1871	0	587	588	624	623
093_EGFR_exon_18_F2	chr7	55241631	55241724	EGFR	NM_005228	+	2079	0	2172	0	693	694	724	724
094_EGFR_exon19_A_F2	chr7	55242386	55242472	EGFR	NM_005228	+	2185	29	2242	0	729	729	748	747
095_EGFR_exon19_B_F2	chr7	55242444	55242540	EGFR	NM_005228	+	2214	0	2283	27	738	739	761	761
096_EGFR_exon_20_T790M_F2	chr7	55248998	55249090	EGFR	NM_005228	+	2296	0	2388	0	766	766	796	796
097_EGFR_G810S-I821T_F2	chr7	55249122	55249213	EGFR	NM_005228	+	2420	0	2469	42	807	808	823	823
098_EGFR_exon_21_L858R_F2	chr7	55259501	55259567	EGFR	NM_005228	+	2559	0	2625	0	853	854	875	875
099_MET_E168_F2	chr7	116339602	116339694	MET	NM_001127500	+	464	0	556	0	155	156	186	185
100_MET_N375S_F2	chr7	116340221	116340337	MET	NM_001127500	+	1083	0	1199	0	361	362	400	399
101_MET_Y848_notcosmic_F2	chr7	116403150	116403246	MET	NM_001127500	+	2465	0	2561	0	822	823	854	853
102_MET_L982-T1010_F2	chr7	116411896	116411997	MET	NM_001127500	+	2942	7	3036	0	981	982	1012	1012
103_METH112-L1130_F2	chr7	116417426	116417520	MET	NM_001127500	+	3314	17	3391	0	1105	1106	1131	1130
104_MET_Y1248-Y1253-M1268_F2	chr7	116423407	116423485	MET	NM_001127500	+	3736	0	3814	0	1246	1246	1272	1271
105_SMO_R199_F2	chr7	128845078	128845146	SMO	NM_005631	+	572	0	640	0	191	192	214	213
106_SMO_A324_F2	chr7	128846011	128846082	SMO	NM_005631	+	941	0	1012	0	314	315	338	337
107_SMO_V404_F2	chr7	128846362	128846421	SMO	NM_005631	+	1198	0	1257	0	400	400	419	419
108_SMO_W535_F2	chr7	128850272	128850360	SMO	NM_005631	+	1535	0	1623	0	512	513	541	541
109_SMO_T640_F2	chr7	128851522	128851601	SMO	NM_005631	+	1847	0	1926	0	616	617	642	642
110_BRAF_V600_1_F1	chr7	140453110	140453194	BRAF	NM_004333	-	1742	1	1825	0	581	582	609	608
111_BRAF_V471_R444.R1	chr7	140481384	140481481	BRAF	NM_004333	-	1327	0	1424	0	443	443	475	474
112_EZH2_Y646_R1	chr7	148508693	148508790	EZH2	NM_004456	-	1874	0	1947	24	625	626	649	649
113_FGFR1_P252_R1	chr8	38282139	38282220	FGFR1	NM_023110	-	746	3	824	0	249	250	275	274
114_FGFR1_S125-T141_R1	chr8	38285862	38285973	FGFR1	NM_023110	-	359	20	448	2	120	121	150	149
115_JAK2_V617F2	chr9	5073717	5073781	JAK2	NM_004972	+	1796	0	1860	0	599	600	620	620
116_JAK2_R683_F2	chr9	5078343	5078400	JAK2	NM_004972	+	2030	0	2087	0	677	678	696	695
117_CDKN2A_A100-A132_F1	chr9	21970941	21971063	CDKN2A	NM_000077	-	295	0	417	0	99	99	139	139
118_CDKN2A_V51-D84_F1	chr9	21971091	21971210	CDKN2A	NM_000077	-	151	3	267	0	51	51	89	89
119_GNAQ_Q209.F1	chr9	80409416	80409498	GNAQ	NM_002072	-	616	0	698	0	206	206	233	232
120_GNAQ_T175S_R183Q_R1	chr9	80412486	80412573	GNAQ	NM_002072	-	477	9	555	0	159	160	185	185
121_ABL1_M244V-E255_F2	chr9	133738304	133738385	ABL1	NM_007313	+	761	0	842	0	254	255	281	280
122_ABL1_D276G_F_option2coversI2932	chr9	133747481	133747579	ABL1	NM_007313	+	880	35	943	0	294	294	315	314
123_ABL1_T315-F317L_F2	chr9	133748237	133748354	ABL1	NM_007313	+	965	10	1072	0	322	323	358	357
124_ABL1_M351T-F359V_F2	chr9	133748386	133748503	ABL1	NM_007313	+	1104	0	1142	79	368	369	381	380
125_ABL1_L384M-H396R_F2	chr9	133750307	133750403	ABL1	NM_007313	+	1195	0	1291	0	399	399	431	430
126_TSC1.E636fs.R1	chr9	135781028	135781083	TSC1	NM_000368	-	1882	0	1937	0	628	628	646	645
127_NOTCH1.Q2441-S2468.R1	chr9	139390785	139390878	NOTCH1	NM_017617	-	7313	0	7406	0	2438	2439	2469	2468
128_NOTCH_L1679P_R_option21	chr9	139397764	139397879	NOTCH1	NM_017617	-	5019	97	5037	0	1673	1674	1679	1679
129_NOTCH1.L1575-L1601.R1	chr9	139399341	139399445	NOTCH1	NM_017617	-	4698	0	4802	0	1566	1567	1601	1600
130_RET_F612-C620_F2	chr10	43609029	43609110	RET	NM_020975	+	1785	0	1866	0	595	596	622	622
131_RET_L629-C634_F2	chr10	43609873	43609969	RET	NM_020975	+	1880	55	1921	0	627	628	641	640
132_RET_A664D_F2	chr10	43610028	43610101	RET	NM_020975	+	1980	0	2053	0	660	661	685	684
133_RET_E768D_F2	chr10	43613801	43613894	RET	NM_020975	+	2285	20	2358	0	762	763	786	786
134_RET_A883_F2	chr10	43615563	43615637	RET	NM_020975	+	2642	0	2716	0	881	882	906	905
135_RET_M918T_F_option_2_pairs_with_14-8092	chr10	43617384	43617452	RET	NM_020975	+	2731	10	2789	0	911	911	930	929
136_PTEN_M1_T26_F2	chr10	89624189	89624314	PTEN	NM_000314	+	1	38	79	9	1	1	27	26
137_PTEN_I26_R55_F2	chr10	89653781	89653869	PTEN	NM_000314	+	80	1	164	3	27	28	55	54
138_PTEN_R55_L70_F2	chr10	89685244	89685334	PTEN	NM_000314	+	165	26	209	20	55	56	70	69
139_PTEN_L70_V85_F2	chr10	89690763	89690848	PTEN	NM_000314	+	210	40	253	2	70	71	85	84
140_PTEN_V85_H118_F2	chr10	89692769	89692873	PTEN	NM_000314	+	254	1	357	0	85	86	119	119
141_PTEN_H118_I135_F2	chr10	89692868	89692922	PTEN	NM_000314	+	352	0	406	0	118	118	136	135
142_PTEN_R130_K164_F2	chr10	89692901	89693008	PTEN	NM_000314	+	385	0	492	0	129	129	164	164
143_PTEN_G165_V190_F2	chr10	89711855	89711955	PTEN	NM_000314	+	493	20	573	0	165	165	191	191
144_PTEN_V190_N212_F2	chr10	89711951	89712023	PTEN	NM_000314	+	569	0	634	7	190	191	212	211
145_PTEN_N212_R233_F2	chr10	89717590	89717675	PTEN	NM_000314	+	635	20	700	0	212	213	234	233
146_PTEN_R233_K267_F2_TESTING	chr10	89717669	89717776	PTEN	NM_000314	+	694	0	801	0	232	232	267	267
147_PTEN_D268_I300_F2_NEW	chr10	89720569	89720700	PTEN	NM_000314	+	802	82	851	0	268	268	284	283
148_PTEN_D301_K342_F1_NEW	chr10	89720774	89720879	PTEN	NM_000314	+	925	0	1026	4	309	309	342	342
149_PTEN_V343_D374_F2	chr10	89725040	89725142	PTEN	NM_000314	+	1027	4	1125	0	343	343	375	375
150_FGFR2_N549_R1	chr10	123257972	123258060	FGFR2	NM_000141	-	1621	0	1672	37	541	541	558	557
151_FGFR2__T370,S372,C382_R1	chr10	123274765	123274846	FGFR2	NM_000141	-	1085	13	1153	0	362	363	385	384
152_FGFR2_W290-K310_R1	chr10	123279481	123279564	FGFR2	NM_000141	-	868	0	939	12	290	290	313	313
153_FGFR2_S252-P253_R1	chr10	123279603	123279687	FGFR2	NM_000141	-	749	4	829	0	250	251	277	276
154_HRAS_Q61_tailed_truncated_P7_2_62.7C2	chr11	533792	533903	HRAS	NM_005343	-	153	0	264	0	51	52	88	88
155_HRAS_G12_F1_NEW	chr11	534237	534348	HRAS	NM_005343	-	1	26	86	0	1	1	29	28
156_ATM.R337.F2	chr11	108117763	108117853	ATM	NM_000051	+	974	0	1064	0	325	326	355	354
157_ATM.V410.F2	chr11	108119807	108119896	ATM	NM_000051	+	1213	0	1235	67	405	405	412	411
158_ATM.P604.F2	chr11	108123504	108123573	ATM	NM_000051	+	1803	40	1832	0	601	602	611	610
159_ATM_E848-F858_F2	chr11	108137953	108138045	ATM	NM_000051	+	2522	0	2614	0	841	842	872	871
160_ATM_A1309_F2	chr11	108155081	108155177	ATM	NM_000051	+	3874	0	3970	0	1292	1292	1324	1323
161_ATM_I1681_D1682_F2	chr11	108170464	108170556	ATM	NM_000051	+	5029	0	5121	0	1677	1677	1707	1707
162_ATM_L1718_F2	chr11	108170549	108170629	ATM	NM_000051	+	5114	0	5177	17	1705	1706	1726	1725
163_ATM_L1742_F2	chr11	108172341	108172442	ATM	NM_000051	+	5178	34	5245	0	1726	1727	1749	1748
164_ATM_L1794_F2	chr11	108173631	108173704	ATM	NM_000051	+	5371	0	5444	0	1791	1791	1815	1814
165_ATM_L1826_F2	chr11	108173696	108173795	ATM	NM_000051	+	5436	0	5496	39	1812	1813	1832	1832
166_ATM_V1941_F2	chr11	108180901	108180969	ATM	NM_000051	+	5777	0	5845	0	1926	1927	1949	1948
167_ATM_Q2442_F2	chr11	108200906	108200990	ATM	NM_000051	+	7308	35	7357	0	2436	2437	2453	2452
168_ATM_T2666_F2	chr11	108204632	108204693	ATM	NM_000051	+	7947	0	8008	0	2649	2650	2670	2669
169_ATM_G2695_F2	chr11	108205711	108205821	ATM	NM_000051	+	8026	0	8136	0	2676	2676	2712	2712
170_ATM_D2725_F2	chr11	108206518	108206620	ATM	NM_000051	+	8152	54	8200	0	2718	2718	2734	2733
171_ATM_I2888_F2	chr11	108218039	108218142	ATM	NM_000051	+	8618	0	8671	50	2873	2874	2891	2890
172_ATM_R2947_F2	chr11	108225543	108225635	ATM	NM_000051	+	8792	0	8850	34	2931	2932	2950	2950
173_ATM_R3008_F2	chr11	108236038	108236150	ATM	NM_000051	+	8988	14	9086	0	2996	2997	3029	3028
174_ATM_R3047_F2	chr11	108236139	108236231	ATM	NM_000051	+	9075	0	9167	0	3025	3026	3056	3055
175_KRAS_A146-K117_F2	chr12	25378557	25378661	KRAS	NM_004985	-	337	0	441	0	113	113	147	147
176_KRAS_Q61.F1	chr12	25380262	25380360	KRAS	NM_004985	-	112	14	196	0	38	38	66	65
177_KRAS_codon12.F1	chr12	25398215	25398311	KRAS	NM_004985	-	8	0	104	0	3	4	35	34
178_PTPN11_1_F1	chr12	112888113	112888229	PTPN11	NM_002834	+	138	9	245	0	46	47	82	81
179_PTPN11_2_R2	chr12	112926833	112926937	PTPN11	NM_002834	+	1453	0	1557	0	485	485	519	519
180_HNF1A_R203C-Q211P_F2	chr12	121431381	121431489	HNF1A	NM_000545	+	585	0	693	0	195	196	231	231
181_HNF1A_R229_N237_F2	chr12	121431474	121431571	HNF1A	NM_000545	+	678	0	713	62	226	227	238	237
182_HNF1A_T260C-Q211P_F2	chr12	121431986	121432089	HNF1A	NM_000545	+	733	0	836	0	245	245	279	278
183_HNF1A_G288_G292_F2	chr12	121432059	121432154	HNF1A	NM_000545	+	806	0	901	0	269	270	301	300
184_FLT3_D835-I836_R1	chr13	28592605	28592708	FLT3	NM_004119	-	2437	0	2540	0	813	813	847	846
185_FLT3.A680.R1	chr13	28602280	28602383	FLT3	NM_004119	-	1985	0	2053	35	662	663	685	684
186_FLT3_Y572-W603.R1	chr13	28608225	28608321	FLT3	NM_004119	-	1735	0	1831	0	579	579	611	610
187_FLT3.S451.R1	chr13	28610104	28610206	FLT3	NM_004119	-	1310	26	1386	0	437	438	462	462
188_RB1_E137*_F2	chr13	48919221	48919299	RB1	NM_000321	+	386	0	464	0	129	130	155	154
189_RB1_E199*_F2	chr13	48923122	48923213	RB1	NM_000321	+	570	0	607	54	190	191	203	202
190_RB1_R251Q_F2	chr13	48936958	48937013	RB1	NM_000321	+	726	0	781	0	242	243	261	260
191_RB1_R320*_F2	chr13	48941591	48941676	RB1	NM_000321	+	940	39	986	0	314	314	329	328
192_RB1_R358*_F2	chr13	48942648	48942722	RB1	NM_000321	+	1050	15	1109	0	350	351	370	369
193_RB1_R445*_R455*_F2	chr13	48953700	48953767	RB1	NM_000321	+	1333	30	1370	0	445	445	457	456
194_RB1_R552*_R556*_F2	chr13	48955482	48955568	RB1	NM_000321	+	1598	0	1684	0	533	534	562	561
195_RB1_R579*_F2	chr13	49027102	49027182	RB1	NM_000321	+	1696	27	1749	0	566	566	583	583
196_RB1_L660*fs2_R661_L676fs*16_F2	chr13	49033826	49033935	RB1	NM_000321	+	1963	0	2072	0	655	655	691	690
197_RB1_C706F_K715*_F2	chr13	49037825	49037928	RB1	NM_000321	+	2107	42	2168	0	703	703	723	722
198_RB1_E748*_V754G_F2	chr13	49039146	49039246	RB1	NM_000321	+	2224	0	2324	0	742	742	775	774
199_RB1_R787_F2	chr13	49039364	49039419	RB1	NM_000321	+	2349	0	2404	0	783	784	802	801
200_AKT1_G173R_K179M_R1	chr14	105241438	105241523	AKT1	NM_005163	-	457	0	542	0	153	153	181	180
201_AKT1_E17-E49_new1	chr14	105246446	105246553	AKT1	NM_005163	-	47	0	154	0	16	17	52	51
202_MAP2K1.Q47-D67.F2	chr15	66727422	66727522	MAP2K1	NM_002755	+	138	0	238	0	46	47	80	79
203_MAP2K1.I99-G128F2	chr15	66729084	66729189	MAP2K1	NM_002755	+	292	0	397	0	98	98	133	132
204_MAPK2K1.E203.F2	chr15	66774118	66774198	MAP2K1	NM_002755	+	594	0	674	0	198	199	225	224
205_MAP2k1.P264.F2	chr15	66777339	66777447	MAP2K1	NM_002755	+	705	0	813	0	235	236	271	271
206_MAP2K1.N382.F2	chr15	66782821	66782935	MAP2K1	NM_002755	+	1069	19	1164	0	357	357	388	388
207_IDH2_B_R140-R172_R1	chr15	90631741	90631846	IDH2	NM_002168	-	507	0	534	78	169	170	178	178
208_IDH2_A_R140-R172_R1	chr15	90631906	90631970	IDH2	NM_002168	-	383	0	447	0	128	129	149	149
209_CDH1_V82_F2	chr16	68835603	68835681	CDH1	NM_004360	+	194	0	272	0	65	66	91	90
210_CDH1_SL343-D370_F2	chr16	68846031	68846147	CDH1	NM_004360	+	1009	7	1118	0	337	337	373	372
211_CDH1_T399_D402_F2	chr16	68847212	68847319	CDH1	NM_004360	+	1138	4	1241	0	380	380	414	413
212_ERBB2_G309A_F2	chr17	37868185	37868267	ERBB2	NM_001005862	+	816	0	898	0	272	273	300	299
213_ERBB2_L755,_755-759del,_D769_F2	chr17	37880213	37880324	ERBB2	NM_001005862	+	2167	0	2217	61	723	723	739	739
214_ERBB2_A_V777L_F2	chr17	37880966	37881030	ERBB2	NM_001005862	+	2218	13	2269	0	740	740	757	756
215_ERBB2_B_V842I_F2	chr17	37881283	37881366	ERBB2	NM_001005862	+	2404	19	2468	0	802	802	823	822
216_SMAD4.A118-C123.F2	chr18	48575120	48575193	SMAD4	NM_005359	+	314	0	387	0	105	106	129	129
217_SMAD4.S144.F2	chr18	48575577	48575679	SMAD4	NM_005359	+	425	88	439	0	142	143	147	146
218_SMAD4.G168.F2	chr18	48581187	48581282	SMAD4	NM_005359	+	491	0	586	0	164	165	196	195
219_SMAD4.Q245-T259.F2	chr18	48584499	48584595	SMAD4	NM_005359	+	672	0	768	0	224	225	256	256
220_SMAD4.Q311.F2	chr18	48586257	48586344	SMAD4	NM_005359	+	926	0	955	58	309	310	319	318
221_SMAD4.E330-R361.F2	chr18	48591817	48591929	SMAD4	NM_005359	+	980	0	1092	0	327	328	364	364
222_SMAD4.G386-Y412.F2	chr18	48593401	48593507	SMAD4	NM_005359	+	1152	0	1258	0	384	385	420	419
223_SMAD4.R445-A466.F2	chr18	48603027	48603120	SMAD4	NM_005359	+	1328	0	1421	0	443	444	474	473
224_SMAD4.R497.F2	chr18	48604662	48604728	SMAD4	NM_005359	+	1484	0	1550	0	495	496	517	516
225_SMAD4.E526-D537.F2	chr18	48604726	48604797	SMAD4	NM_005359	+	1548	0	1619	0	516	517	540	539
226_STK11.T32-Y60.F2	chr19	1207003	1207104	STK11	NM_000455	+	91	0	192	0	31	31	64	64
227_STK11.Q159-G171.F2	chr19	1220312	1220423	STK11	NM_000455	+	465	60	516	0	155	156	172	172
228_STK11.D194-E199.F2	chr19	1220464	1220574	STK11	NM_000455	+	557	0	597	70	186	187	199	199
229_STK11.F264-282.F2	chr19	1221227	1221332	STK11	NM_000455	+	750	0	855	0	250	251	285	285
230_STK11.W332-F354.F2	chr19	1223052	1223144	STK11	NM_000455	+	989	0	1081	0	330	331	361	360
231_GNA11_R183_F2	chr19	3114949	3115047	GNA11	NM_002067	+	484	0	582	0	162	162	194	194
232_GNA11_Q209.R2	chr19	3118934	3119024	GNA11	NM_002067	+	618	0	708	0	206	207	236	236
233_Jak3_3_R_1	chr19	17945624	17945733	JAK3	NM_000215	-	2127	0	2199	37	709	710	733	733
234_Jak3_2_R_1	chr19	17947971	17948078	JAK3	NM_000215	-	1702	56	1753	0	568	568	585	584
