#Position	Gene	Swift amplicon name
chr1:43814951-43815064	MPL	001_MPL_S505N-A519T_F2
chr4:55144474-55144559	PDGFRA	047_PDGFRA_T674I_F2
chr4:55152025-55152135	PDGFRA	048_PDGFRA_V824-D846_F2
chr4:55561695-55561783	KIT	049_KIT.G51-D52.F2
chr4:55561783-55561861	KIT	050_KIT_T59_W82_F2
chr4:55592043-55592163	KIT	051_KIT_V457_N495_F2
chr4:55592152-55592244	KIT	052_KIT.Y503-K505.F2
chr4:55593421-55593513	KIT	053_KIT.V530-K546.F2
chr4:55593515-55593613	KIT	054_KIT.K550-K558.F2
chr4:55593599-55593688	KIT	055_KIT_L576P-P577-D579del_2
chr4:55594144-55594261	KIT	056_KIT_K642_F_option22
chr4:55595493-55595568	KIT	057_KIT.T670.F1
chr4:55595562-55595665	KIT	058_KIT_K685_C714_F2
chr4:55597456-55597531	KIT	059_KIT.S715.F2
chr4:55597530-55597617	KIT	060_KIT_D737_F2
chr4:55599259-55599358	KIT	061_KIT.D816.F2
chr4:55602664-55602766	KIT	062_KIT.E839-W853.F2
chr4:55946079-55946138	KDR	063_KDR_P1355del_R1
chr4:55946225-55946270	KDR	064_KDR_G1308*_R1
chr4:55953738-55953843	KDR	065_KDR_P1210L_F1_NEW
chr4:55955084-55955172	KDR	066_KDR_L1140_G1145_R1
chr4:55960944-55961033	KDR	067_KDR_A973_S984_F1_NEW
chr4:55962478-55962580	KDR	068_KDR_G873R_R1
chr4:55972945-55973028	KDR	069_KDR_V476L_R1
chr4:55979550-55979636	KDR	070_KDR_R275L_R1
chr4:55980322-55980393	KDR	071_KDR_A248G_R1
chr4:153245377-153245470	FBXW7	072_FBXW7_S582.R1
chr4:153247269-153247374	FBXW7	073_FBXW7_R479-R505.R1
chr4:153249374-153249478	FBXW7	074_FBXW7_R465.R1
chr4:153250842-153250918	FBXW7	075_FBXW7_R393.R1
chr4:153258967-153259029	FBXW7	076_FBXW7_R278.R1
chr4:153259016-153259122	FBXW7	077_FBXW7_E248_R1
chr5:112173873-112173970	APC	078_APC_N869fs*47,_R876*,_I880T,_Q886*_F2
chr5:112174572-112174677	APC	079_APC_Q1096*-G1120C_F2
chr5:112175155-112175261	APC	080_APC_Q1294fs*9-E1322*_F2
chr5:112175322-112175432	APC	081_APC_E1345*-E1379*_F2
chr5:112175569-112175626	APC	082_APC_Q1429_Q1469_F_12
chr5:112175688-112175711	APC	083_APC_Q1429_Q1469_R_11
chr5:112175745-112175839	APC	084_APC_L1488fs*19-E1513*_F2
chr5:112175897-112175972	APC	085_APC_E1537_S1595_F_12
chr5:112175977-112176076	APC	086_APC_L1537_A1595_F_22
chr5:149433595-149433692	CSF1R	087_CSF1R_Y969_R1
chr5:149452991-149453083	CSF1R	088_CSF1R_L301_R1
chr5:170837505-170837618	NPM1	089_NPM1_W288,_Q289,_W290,_and_fs_F1_NEW
chr7:55211043-55211113	EGFR	090_EGFR_R108_F2
chr7:55221796-55221866	EGFR	091_EGFR_A289_F2
chr7:55233011-55233121	EGFR	092_EGFR_P596_G598_F_option2coversC620Y2
chr7:55241631-55241724	EGFR	093_EGFR_exon_18_F2
chr7:55242386-55242472	EGFR	094_EGFR_exon19_A_F2
chr7:55242444-55242540	EGFR	095_EGFR_exon19_B_F2
chr7:55248998-55249090	EGFR	096_EGFR_exon_20_T790M_F2
chr7:55249122-55249213	EGFR	097_EGFR_G810S-I821T_F2
chr7:55259501-55259567	EGFR	098_EGFR_exon_21_L858R_F2
chr7:116339602-116339694	MET	099_MET_E168_F2
chr7:116340221-116340337	MET	100_MET_N375S_F2
chr7:116403150-116403246	MET	101_MET_Y848_notcosmic_F2
chr7:116411896-116411997	MET	102_MET_L982-T1010_F2
chr7:116417426-116417520	MET	103_METH112-L1130_F2
chr7:116423407-116423485	MET	104_MET_Y1248-Y1253-M1268_F2
chr7:128845078-128845146	SMO	105_SMO_R199_F2
chr7:128846011-128846082	SMO	106_SMO_A324_F2
chr7:128846362-128846421	SMO	107_SMO_V404_F2
chr7:128850272-128850360	SMO	108_SMO_W535_F2
chr7:128851522-128851601	SMO	109_SMO_T640_F2
chr7:140453110-140453194	BRAF	110_BRAF_V600_1_F1
chr7:140481384-140481481	BRAF	111_BRAF_V471_R444.R1
chr7:148508693-148508790	EZH2	112_EZH2_Y646_R1
chr8:38282139-38282220	FGFR1	113_FGFR1_P252_R1
chr8:38285862-38285973	FGFR1	114_FGFR1_S125-T141_R1
chr9:5073717-5073781	JAK2	115_JAK2_V617F2
chr9:5078343-5078400	JAK2	116_JAK2_R683_F2
chr9:21970941-21971063	CDKN2A	117_CDKN2A_A100-A132_F1
chr9:21971091-21971210	CDKN2A	118_CDKN2A_V51-D84_F1
chr9:80409416-80409498	GNAQ	119_GNAQ_Q209.F1
chr9:80412486-80412573	GNAQ	120_GNAQ_T175S_R183Q_R1
chr9:133738304-133738385	ABL1	121_ABL1_M244V-E255_F2
chr9:133747481-133747579	ABL1	122_ABL1_D276G_F_option2coversI2932
chr9:133748237-133748354	ABL1	123_ABL1_T315-F317L_F2
chr9:133748386-133748503	ABL1	124_ABL1_M351T-F359V_F2
chr9:133750307-133750403	ABL1	125_ABL1_L384M-H396R_F2
chr9:135781028-135781083	TSC1	126_TSC1.E636fs.R1
chr9:139390785-139390878	NOTCH1	127_NOTCH1.Q2441-S2468.R1
chr9:139397764-139397879	NOTCH1	128_NOTCH_L1679P_R_option21
chr9:139399341-139399445	NOTCH1	129_NOTCH1.L1575-L1601.R1
chr10:43609029-43609110	RET	130_RET_F612-C620_F2
chr10:43609873-43609969	RET	131_RET_L629-C634_F2
chr10:43610028-43610101	RET	132_RET_A664D_F2
chr10:43613801-43613894	RET	133_RET_E768D_F2
chr10:43615563-43615637	RET	134_RET_A883_F2
chr10:43617384-43617452	RET	135_RET_M918T_F_option_2_pairs_with_14-8092
chr10:89624189-89624314	PTEN	136_PTEN_M1_T26_F2
chr10:89653781-89653869	PTEN	137_PTEN_I26_R55_F2
chr10:89685244-89685334	PTEN	138_PTEN_R55_L70_F2
chr10:89690763-89690848	PTEN	139_PTEN_L70_V85_F2
chr10:89692769-89692873	PTEN	140_PTEN_V85_H118_F2
chr10:89692868-89692922	PTEN	141_PTEN_H118_I135_F2
chr10:89692901-89693008	PTEN	142_PTEN_R130_K164_F2
chr10:89711855-89711955	PTEN	143_PTEN_G165_V190_F2
chr10:89711951-89712023	PTEN	144_PTEN_V190_N212_F2
chr10:89717590-89717675	PTEN	145_PTEN_N212_R233_F2
chr10:89717669-89717776	PTEN	146_PTEN_R233_K267_F2_TESTING
chr10:89720569-89720700	PTEN	147_PTEN_D268_I300_F2_NEW
chr10:89720774-89720879	PTEN	148_PTEN_D301_K342_F1_NEW
chr10:89725040-89725142	PTEN	149_PTEN_V343_D374_F2
chr10:123257972-123258060	FGFR2	150_FGFR2_N549_R1
chr10:123274765-123274846	FGFR2	151_FGFR2__T370,S372,C382_R1
chr10:123279481-123279564	FGFR2	152_FGFR2_W290-K310_R1
chr10:123279603-123279687	FGFR2	153_FGFR2_S252-P253_R1
chr11:533792-533903	HRAS	154_HRAS_Q61_tailed_truncated_P7_2_62.7C2
chr11:534237-534348	HRAS	155_HRAS_G12_F1_NEW
chr11:108117763-108117853	ATM	156_ATM.R337.F2
chr11:108119807-108119896	ATM	157_ATM.V410.F2
chr11:108123504-108123573	ATM	158_ATM.P604.F2
chr11:108137953-108138045	ATM	159_ATM_E848-F858_F2
chr11:108155081-108155177	ATM	160_ATM_A1309_F2
chr11:108170464-108170556	ATM	161_ATM_I1681_D1682_F2
chr11:108170549-108170629	ATM	162_ATM_L1718_F2
chr11:108172341-108172442	ATM	163_ATM_L1742_F2
chr11:108173631-108173704	ATM	164_ATM_L1794_F2
chr11:108173696-108173795	ATM	165_ATM_L1826_F2
chr11:108180901-108180969	ATM	166_ATM_V1941_F2
chr11:108200906-108200990	ATM	167_ATM_Q2442_F2
chr11:108204632-108204693	ATM	168_ATM_T2666_F2
chr11:108205711-108205821	ATM	169_ATM_G2695_F2
chr11:108206518-108206620	ATM	170_ATM_D2725_F2
chr11:108218039-108218142	ATM	171_ATM_I2888_F2
chr11:108225543-108225635	ATM	172_ATM_R2947_F2
chr11:108236038-108236150	ATM	173_ATM_R3008_F2
chr11:108236139-108236231	ATM	174_ATM_R3047_F2
chr12:25378557-25378661	KRAS	175_KRAS_A146-K117_F2
chr12:25380262-25380360	KRAS	176_KRAS_Q61.F1
chr12:25398215-25398311	KRAS	177_KRAS_codon12.F1
chr12:112888113-112888229	PTPN11	178_PTPN11_1_F1
chr12:112926833-112926937	PTPN11	179_PTPN11_2_R2
chr12:121431381-121431489	HNF1A	180_HNF1A_R203C-Q211P_F2
chr12:121431474-121431571	HNF1A	181_HNF1A_R229_N237_F2
chr12:121431986-121432089	HNF1A	182_HNF1A_T260C-Q211P_F2
chr12:121432059-121432154	HNF1A	183_HNF1A_G288_G292_F2
chr13:28592605-28592708	FLT3	184_FLT3_D835-I836_R1
chr13:28602280-28602383	FLT3	185_FLT3.A680.R1
chr13:28608225-28608321	FLT3	186_FLT3_Y572-W603.R1
chr13:28610104-28610206	FLT3	187_FLT3.S451.R1
chr13:48919221-48919299	RB1	188_RB1_E137*_F2
chr13:48923122-48923213	RB1	189_RB1_E199*_F2
chr13:48936958-48937013	RB1	190_RB1_R251Q_F2
chr13:48941591-48941676	RB1	191_RB1_R320*_F2
chr13:48942648-48942722	RB1	192_RB1_R358*_F2
chr13:48953700-48953767	RB1	193_RB1_R445*_R455*_F2
chr13:48955482-48955568	RB1	194_RB1_R552*_R556*_F2
chr13:49027102-49027182	RB1	195_RB1_R579*_F2
chr13:49033826-49033935	RB1	196_RB1_L660*fs2_R661_L676fs*16_F2
chr13:49037825-49037928	RB1	197_RB1_C706F_K715*_F2
chr13:49039146-49039246	RB1	198_RB1_E748*_V754G_F2
chr13:49039364-49039419	RB1	199_RB1_R787_F2
chr14:105241438-105241523	AKT1	200_AKT1_G173R_K179M_R1
chr14:105246446-105246553	AKT1	201_AKT1_E17-E49_new1
chr15:66727422-66727522	MAP2K1	202_MAP2K1.Q47-D67.F2
chr15:66729084-66729189	MAP2K1	203_MAP2K1.I99-G128F2
chr15:66774118-66774198	MAP2K1	204_MAPK2K1.E203.F2
chr15:66777339-66777447	MAP2K1	205_MAP2k1.P264.F2
chr15:66782821-66782935	MAP2K1	206_MAP2K1.N382.F2
chr15:90631741-90631846	IDH2	207_IDH2_B_R140-R172_R1
chr15:90631906-90631970	IDH2	208_IDH2_A_R140-R172_R1
chr16:68835603-68835681	CDH1	209_CDH1_V82_F2
chr16:68846031-68846147	CDH1	210_CDH1_SL343-D370_F2
chr16:68847212-68847319	CDH1	211_CDH1_T399_D402_F2
chr17:37868185-37868267	ERBB2	212_ERBB2_G309A_F2
chr17:37880213-37880324	ERBB2	213_ERBB2_L755,_755-759del,_D769_F2
chr17:37880966-37881030	ERBB2	214_ERBB2_A_V777L_F2
chr17:37881283-37881366	ERBB2	215_ERBB2_B_V842I_F2
chr18:48575120-48575193	SMAD4	216_SMAD4.A118-C123.F2
chr18:48575577-48575679	SMAD4	217_SMAD4.S144.F2
chr18:48581187-48581282	SMAD4	218_SMAD4.G168.F2
chr18:48584499-48584595	SMAD4	219_SMAD4.Q245-T259.F2
chr18:48586257-48586344	SMAD4	220_SMAD4.Q311.F2
chr18:48591817-48591929	SMAD4	221_SMAD4.E330-R361.F2
chr18:48593401-48593507	SMAD4	222_SMAD4.G386-Y412.F2
chr18:48603027-48603120	SMAD4	223_SMAD4.R445-A466.F2
chr18:48604662-48604728	SMAD4	224_SMAD4.R497.F2
chr18:48604726-48604797	SMAD4	225_SMAD4.E526-D537.F2
chr19:1207003-1207104	STK11	226_STK11.T32-Y60.F2
chr19:1220312-1220423	STK11	227_STK11.Q159-G171.F2
chr19:1220464-1220574	STK11	228_STK11.D194-E199.F2
chr19:1221227-1221332	STK11	229_STK11.F264-282.F2
chr19:1223052-1223144	STK11	230_STK11.W332-F354.F2
chr19:3114949-3115047	GNA11	231_GNA11_R183_F2
chr19:3118934-3119024	GNA11	232_GNA11_Q209.R2
chr19:17945624-17945733	JAK3	233_Jak3_3_R_1
chr19:17947971-17948078	JAK3	234_Jak3_2_R_1
chr19:17954129-17954229	JAK3	235_Jak3_1_R_1
chr20:36031665-36031769	SRC	236_SRC_Q531*_F2
chr20:57484407-57484483	GNAS	237_GNAS_R201_F2
chr20:57484553-57484635	GNAS	238_GNAS_Q227_F2
chr22:24133938-24134037	SMARCB1	239_SMARCB1_R40*-R53*_F2
chr22:24143221-24143310	SMARCB1	240_SMARCB1_R158*_F2
chr22:24145518-24145598	SMARCB1	241_SMARCB1_R201*_F2
chr22:24176259-24176373	SMARCB1	242_SMARCB1_R377H-P383_F1_NEW
chr17:7572917-7573014	TP53	243_TP53_Exon11
chr17:7573973-7574042	TP53	244_TP53_Exon10A
chr17:7573891-7573978	TP53	245_TP53_Exon10B
chr17:7576585-7576693	TP53	246_TP53_Exon9b
chr17:7576482-7576589	TP53	247_TP53_Exon9g
chr17:7576863-7576962	TP53	248_TP53_Exon_9a_A
chr17:7576814-7576909	TP53	249_TP53_Exon_9a_B
chr17:7577083-7577188	TP53	250_TP53_Exon_8_A
chr17:7577009-7577124	TP53	251_TP53_Exon_8_B
chr17:7577527-7577627	TP53	252_TP53_Exon7A
chr17:7577451-7577551	TP53	253_TP53_Exon7B
chr17:7578247-7578347	TP53	254_TP53_Exon6A
chr17:7578143-7578252	TP53	255_TP53_Exon6B
chr17:7578316-7578407	TP53	256_TP53_Exon5C
chr17:7578384-7578486	TP53	257_TP53_Exon5B
chr17:7579389-7579501	TP53	258_TP53_Exon4B
chr17:7579287-7579397	TP53	259_TP53_Exon4C
chr17:7579495-7579596	TP53	260_TP53_Exon4A
chr17:7579699-7579768	TP53	261_TP53_Exon3_R
chr17:7579831-7579930	TP53	262_TP53_Exon2_R
chr17:7578445-7578556	TP53	263_TP53_Exon_5A
